Time,SpineBase_X,SpineBase_Y,SpineBase_Z,SpineBase_State,SpineMid_X,SpineMid_Y,SpineMid_Z,SpineMid_State,Neck_X,Neck_Y,Neck_Z,Neck_State,Head_X,Head_Y,Head_Z,Head_State,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ShoulderLeft_State,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,ElbowLeft_State,WristLeft_X,WristLeft_Y,WristLeft_Z,WristLeft_State,HandLeft_X,HandLeft_Y,HandLeft_Z,HandLeft_State,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderRight_State,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,ElbowRight_State,WristRight_X,WristRight_Y,WristRight_Z,WristRight_State,HandRight_X,HandRight_Y,HandRight_Z,HandRight_State,HipLeft_X,HipLeft_Y,HipLeft_Z,HipLeft_State,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,KneeLeft_State,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,AnkleLeft_State,FootLeft_X,FootLeft_Y,FootLeft_Z,FootLeft_State,HipRight_X,HipRight_Y,HipRight_Z,HipRight_State,KneeRight_X,KneeRight_Y,KneeRight_Z,KneeRight_State,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,AnkleRight_State,FootRight_X,FootRight_Y,FootRight_Z,FootRight_State,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineShoulder_State,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,HandTipLeft_State,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,ThumbLeft_State,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,HandTipRight_State,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ThumbRight_State,
00_00_00_0000,-0.139997,-0.218614,4.504354,2,-0.157555,0.028147,4.480793,2,-0.173232,0.271785,4.444883,2,-0.175957,0.379653,4.379931,2,-0.330892,0.192828,4.449899,2,-0.353500,-0.004513,4.358377,2,-0.117804,0.024784,4.261753,2,-0.122512,0.049263,4.226475,2,0.007687,0.220074,4.466431,2,0.059245,0.022810,4.411781,2,-0.101313,0.066090,4.229739,2,-0.163782,0.070631,4.186629,2,-0.212985,-0.221957,4.468354,2,-0.352656,-0.195738,4.126856,1,-0.278688,-0.596961,4.103402,2,-0.256507,-0.676755,4.126341,2,-0.063831,-0.211986,4.470287,2,0.016767,-0.287989,4.115911,2,-0.013303,-0.636295,4.190207,2,0.013133,-0.723200,4.139060,2,-0.168902,0.211287,4.456053,2,-0.117316,0.070841,4.181352,2,-0.104794,0.036028,4.237601,2,-0.200239,0.098103,4.133840,2,-0.206353,0.065147,4.182333,2,
00_00_00_0033,-0.139918,-0.219517,4.506128,2,-0.157848,0.027968,4.480336,2,-0.175820,0.272062,4.438676,2,-0.175817,0.379492,4.379301,2,-0.331445,0.191313,4.448153,2,-0.358787,-0.000799,4.360392,2,-0.196121,0.066274,4.225814,2,-0.154562,0.067989,4.188075,2,0.008158,0.220027,4.464815,2,0.059191,0.018352,4.412405,2,-0.076741,0.043265,4.249156,2,-0.126083,0.064154,4.209468,2,-0.213423,-0.223033,4.470996,2,-0.351146,-0.196026,4.128681,2,-0.276299,-0.597086,4.105234,2,-0.257001,-0.677079,4.126193,2,-0.063570,-0.212700,4.471370,2,0.016233,-0.288312,4.116704,2,-0.013243,-0.644303,4.188601,2,0.015010,-0.730928,4.139281,2,-0.170876,0.211357,4.451900,2,-0.119146,0.071401,4.179518,2,-0.103639,0.059752,4.200250,2,-0.167256,0.087221,4.150702,2,-0.175447,0.057380,4.167000,2,
00_00_00_0067,-0.153177,-0.226594,4.526144,2,-0.159728,0.025310,4.483567,2,-0.174354,0.270431,4.438059,2,-0.174959,0.378562,4.378627,2,-0.329470,0.192563,4.445430,2,-0.359001,-0.000422,4.360964,2,-0.155125,0.068418,4.198757,2,-0.163600,0.068194,4.190077,2,0.008751,0.220142,4.468942,2,0.058828,0.016598,4.412554,2,-0.075596,0.049158,4.249412,1,-0.127680,0.064564,4.205240,1,-0.230493,-0.227325,4.499582,2,-0.339176,-0.269860,4.135285,2,-0.240322,-0.644403,4.167226,2,-0.281559,-0.724915,4.117664,2,-0.074154,-0.221708,4.484685,2,0.014312,-0.286180,4.129794,2,-0.013108,-0.643563,4.188302,2,0.015487,-0.729959,4.138237,2,-0.170368,0.210069,4.451891,2,-0.127354,0.077803,4.163850,2,-0.111980,0.048257,4.192750,2,-0.167152,0.087153,4.147845,2,-0.128393,0.040922,4.200000,2,
00_00_00_0100,-0.152299,-0.226021,4.525408,2,-0.159419,0.025063,4.483279,2,-0.171594,0.268872,4.435092,2,-0.173911,0.377126,4.377559,2,-0.329042,0.190857,4.443801,2,-0.355012,-0.003025,4.360376,2,-0.196889,0.059018,4.217306,2,-0.158138,0.069309,4.180697,2,0.010352,0.218003,4.465656,2,0.058414,0.016375,4.412616,2,-0.088405,0.055634,4.236144,1,-0.147230,0.067146,4.183828,1,-0.227432,-0.226651,4.493722,2,-0.339029,-0.269151,4.135286,2,-0.240285,-0.644316,4.167201,2,-0.281253,-0.725062,4.118189,2,-0.073685,-0.221031,4.485360,2,0.013505,-0.285778,4.130180,2,-0.012910,-0.642381,4.188591,2,0.018643,-0.727843,4.138692,2,-0.168552,0.208832,4.449803,2,-0.135064,0.085655,4.153134,2,-0.124247,0.055023,4.179556,2,-0.173639,0.093777,4.141445,2,-0.175997,0.058429,4.167572,2,
00_00_00_0133,-0.149536,-0.225649,4.524308,2,-0.158668,0.025399,4.485314,2,-0.171040,0.270924,4.442051,2,-0.172800,0.376087,4.377162,2,-0.327912,0.186815,4.440660,2,-0.356632,-0.007429,4.359513,2,-0.142154,0.056656,4.214108,2,-0.118570,0.066372,4.202945,1,0.010776,0.218547,4.469336,2,0.059167,0.017568,4.411162,2,-0.087955,0.062738,4.234671,1,-0.146233,0.068942,4.191515,2,-0.224206,-0.227069,4.491610,2,-0.338195,-0.268271,4.132323,2,-0.240301,-0.644318,4.167190,2,-0.282286,-0.724631,4.118646,2,-0.071640,-0.220263,4.485377,2,0.013474,-0.285857,4.129824,2,-0.012731,-0.640769,4.188164,2,0.018110,-0.726570,4.138736,2,-0.167939,0.210144,4.454926,2,-0.108023,0.084210,4.186519,2,-0.099489,0.059133,4.214715,2,-0.197566,0.083572,4.156175,2,-0.176200,0.055922,4.173359,2,
00_00_00_0167,-0.146606,-0.226915,4.522833,2,-0.156620,0.022446,4.483613,2,-0.167943,0.264909,4.436088,2,-0.172019,0.374968,4.376853,2,-0.327929,0.186797,4.440695,2,-0.355075,-0.007932,4.358759,2,-0.189501,0.066522,4.198472,2,-0.164285,0.064852,4.183220,2,0.013167,0.216436,4.463737,2,0.058441,0.014951,4.408494,2,-0.074498,0.058752,4.246869,1,-0.128370,0.058210,4.217402,1,-0.220975,-0.228385,4.490200,2,-0.339083,-0.184616,4.141608,2,-0.274071,-0.586620,4.102508,2,-0.257386,-0.676684,4.127074,2,-0.069478,-0.221460,4.484311,2,0.014407,-0.287216,4.128479,2,-0.010244,-0.633864,4.187436,2,0.012385,-0.722411,4.140096,2,-0.165178,0.205004,4.450370,2,-0.133058,0.084200,4.140099,2,-0.130559,0.046187,4.179000,2,-0.169284,0.072884,4.159561,2,-0.144139,0.040477,4.198727,2,
00_00_00_0200,-0.144985,-0.227435,4.521461,2,-0.156720,0.021225,4.483012,2,-0.169630,0.262764,4.435075,2,-0.171420,0.374033,4.374853,2,-0.327920,0.186800,4.440546,2,-0.356879,-0.007090,4.358466,2,-0.190722,0.066351,4.200027,2,-0.162497,0.066526,4.183526,2,0.013442,0.215406,4.461514,2,0.058570,0.016627,4.407011,2,-0.073573,0.057163,4.243791,1,-0.130619,0.063416,4.203420,1,-0.218388,-0.229657,4.486827,2,-0.337904,-0.188574,4.138415,2,-0.272109,-0.590862,4.106360,2,-0.257275,-0.676661,4.127175,2,-0.068676,-0.221606,4.484196,2,0.014674,-0.286500,4.128051,2,-0.012365,-0.632022,4.189129,2,0.012449,-0.719754,4.139949,2,-0.166388,0.203059,4.449435,2,-0.131442,0.070481,4.161150,2,-0.122839,0.053714,4.174286,2,-0.170220,0.078829,4.153970,2,-0.166625,0.052081,4.177143,2,
00_00_00_0233,-0.143470,-0.227968,4.523446,2,-0.156673,0.020474,4.483020,2,-0.170723,0.261091,4.432146,2,-0.170957,0.371686,4.374087,2,-0.327575,0.185322,4.436219,2,-0.351123,-0.008501,4.351747,2,-0.153923,0.064992,4.205419,2,-0.153116,0.068930,4.181836,2,0.012388,0.219188,4.467380,2,0.058815,0.016935,4.406309,2,-0.098859,0.058082,4.225833,2,-0.155241,0.069296,4.180331,2,-0.217115,-0.230422,4.488361,2,-0.336903,-0.186753,4.140383,2,-0.272224,-0.589073,4.105553,2,-0.255695,-0.676876,4.125957,2,-0.066905,-0.221897,4.487427,2,0.013785,-0.285923,4.130441,2,-0.012501,-0.631688,4.189218,2,0.013827,-0.719018,4.140107,2,-0.167072,0.201641,4.447599,2,-0.126595,0.078463,4.159785,2,-0.105167,0.065324,4.193000,2,-0.195785,0.076094,4.158342,2,-0.186831,0.056824,4.176182,2,
00_00_00_0267,-0.142739,-0.228628,4.521599,2,-0.154924,0.017215,4.479997,2,-0.167010,0.255647,4.427320,2,-0.170230,0.370745,4.373665,2,-0.327160,0.185054,4.434175,2,-0.349859,-0.008733,4.349298,2,-0.153891,0.064908,4.205884,2,-0.144022,0.064965,4.187742,2,0.011343,0.215118,4.457389,2,0.062710,0.016995,4.409752,2,-0.097381,0.047451,4.224017,1,-0.142220,0.063963,4.188331,2,-0.216165,-0.231134,4.485232,2,-0.340002,-0.195550,4.137861,2,-0.267794,-0.597122,4.116145,2,-0.256776,-0.678056,4.127194,2,-0.066531,-0.222407,4.486733,2,0.014691,-0.286665,4.129927,2,-0.012532,-0.631919,4.189282,2,0.013201,-0.718936,4.137503,2,-0.163951,0.196622,4.443003,2,-0.109443,0.081101,4.183252,2,-0.112198,0.050759,4.200000,2,-0.175399,0.087052,4.143094,2,-0.176459,0.050774,4.169000,2,
00_00_00_0300,-0.142411,-0.228426,4.521186,2,-0.156439,0.017546,4.479012,2,-0.174438,0.257883,4.424414,2,-0.169728,0.370364,4.373403,2,-0.327265,0.184470,4.432808,2,-0.348691,-0.009473,4.347947,2,-0.200051,0.047987,4.217298,2,-0.160508,0.062901,4.181892,2,0.010604,0.211893,4.453816,2,0.062479,0.013682,4.407682,2,-0.096164,0.054956,4.226291,2,-0.153781,0.060853,4.182074,2,-0.215729,-0.230848,4.482951,2,-0.340230,-0.198379,4.135523,2,-0.266321,-0.599682,4.115692,2,-0.256862,-0.680209,4.127748,2,-0.066129,-0.222146,4.487156,2,0.013998,-0.285388,4.129876,2,-0.012717,-0.632213,4.188995,2,0.013514,-0.719127,4.137407,2,-0.169589,0.198208,4.440545,2,-0.125531,0.083234,4.138850,2,-0.128546,0.045194,4.175125,2,-0.185778,0.077194,4.162332,2,-0.189695,0.055186,4.179875,2,
00_00_00_0333,-0.139462,-0.226636,4.521957,2,-0.155981,0.018246,4.478886,2,-0.174352,0.258825,4.423771,2,-0.169726,0.369501,4.370512,2,-0.326880,0.184594,4.432549,2,-0.348251,-0.009238,4.347356,2,-0.199347,0.047145,4.218519,2,-0.153704,0.065532,4.181812,2,0.011552,0.212323,4.452302,2,0.062612,0.011871,4.411309,2,-0.100445,0.053645,4.223627,1,-0.145522,0.063244,4.181863,2,-0.213316,-0.229540,4.483233,2,-0.342199,-0.190643,4.138284,2,-0.270609,-0.592134,4.110236,2,-0.256964,-0.676307,4.126131,2,-0.062809,-0.219889,4.489153,2,0.013403,-0.283638,4.131042,2,-0.012520,-0.633025,4.189145,2,0.015996,-0.720108,4.142775,2,-0.169468,0.199079,4.440022,2,-0.127556,0.087081,4.143850,2,-0.117364,0.052915,4.180263,2,-0.181820,0.086995,4.140177,2,-0.191197,0.053783,4.181400,2,
00_00_00_0367,-0.140407,-0.226291,4.522867,2,-0.154745,0.017769,4.478709,2,-0.162560,0.255267,4.419977,2,-0.169235,0.368899,4.369793,2,-0.326568,0.184684,4.432341,2,-0.350873,-0.009475,4.349105,2,-0.113941,0.059850,4.208205,2,-0.133943,0.059778,4.187519,2,0.011684,0.213295,4.451944,2,0.064514,0.009511,4.411832,2,-0.070673,0.035395,4.248073,1,-0.124520,0.054221,4.205923,1,-0.213944,-0.229290,4.483568,2,-0.341548,-0.228217,4.135884,2,-0.255462,-0.627025,4.131838,2,-0.260603,-0.707616,4.143428,2,-0.064479,-0.219455,4.491488,2,0.012771,-0.282472,4.133471,2,-0.012623,-0.632711,4.188879,2,0.015389,-0.719944,4.142456,2,-0.161620,0.196628,4.437497,2,-0.121388,0.084749,4.160060,2,-0.109174,0.039432,4.209143,2,-0.162343,0.080259,4.140447,2,-0.155251,0.042297,4.180143,2,
00_00_00_0400,-0.139889,-0.227389,4.521996,2,-0.154498,0.016187,4.477997,2,-0.163757,0.253838,4.420011,2,-0.167920,0.367514,4.369345,2,-0.326398,0.183666,4.430139,2,-0.350560,-0.010602,4.347171,2,-0.240705,0.043506,4.244429,2,-0.179408,0.065789,4.188772,2,0.013182,0.212322,4.449504,2,0.067598,0.013986,4.409407,2,-0.070840,0.035373,4.247855,1,-0.119191,0.058707,4.203411,2,-0.213364,-0.230314,4.483099,2,-0.343217,-0.206198,4.137146,2,-0.264616,-0.606638,4.119698,2,-0.257649,-0.686859,4.132554,2,-0.064077,-0.220702,4.490211,2,0.012712,-0.282354,4.131821,2,-0.012631,-0.633090,4.188991,2,0.015333,-0.720272,4.142115,2,-0.162217,0.195243,4.437253,2,-0.144559,0.079665,4.148599,2,-0.143944,0.056412,4.168000,2,-0.163835,0.078494,4.135846,2,-0.155026,0.045526,4.169429,2,
00_00_00_0433,-0.139922,-0.227379,4.521886,2,-0.152408,0.016294,4.475442,2,-0.158943,0.255084,4.413874,2,-0.168086,0.366178,4.367163,2,-0.323365,0.181884,4.426401,2,-0.345934,-0.010885,4.338708,2,-0.095038,0.081511,4.247569,2,-0.106937,0.055038,4.208260,2,0.014286,0.211812,4.448916,2,0.070105,0.013936,4.408277,2,-0.083817,0.045136,4.232429,1,-0.137884,0.060074,4.178048,2,-0.213392,-0.230297,4.483052,2,-0.342357,-0.178985,4.139867,2,-0.276774,-0.580953,4.101301,2,-0.258150,-0.677398,4.127162,2,-0.064115,-0.220719,4.490059,2,0.012627,-0.282456,4.131675,2,-0.014128,-0.639817,4.189414,2,0.015943,-0.726004,4.140654,2,-0.157768,0.196041,4.431765,2,-0.102908,0.072128,4.172728,2,-0.067017,0.071674,4.230000,2,-0.184438,0.084545,4.131043,2,-0.179263,0.049053,4.169200,2,
00_00_00_0467,-0.139622,-0.227049,4.520364,2,-0.151027,0.016899,4.473545,2,-0.157939,0.256021,4.412876,2,-0.168244,0.365507,4.361173,2,-0.323566,0.181498,4.425069,2,-0.349554,-0.011950,4.340480,2,-0.152220,0.062671,4.204340,2,-0.159997,0.055760,4.177557,1,0.014912,0.211810,4.446498,2,0.070535,0.013882,4.405822,2,-0.077452,0.040444,4.227964,1,-0.122671,0.054973,4.178795,1,-0.212996,-0.229963,4.480415,2,-0.341130,-0.178968,4.136830,2,-0.276787,-0.581273,4.100424,2,-0.256992,-0.677925,4.127444,2,-0.063944,-0.220483,4.489447,2,0.012790,-0.282710,4.131156,2,-0.013948,-0.637838,4.188769,2,0.015130,-0.724002,4.137939,2,-0.156584,0.196893,4.430495,2,-0.149226,0.075404,4.120348,2,-0.118495,0.037138,4.154334,2,-0.163547,0.078349,4.128096,2,-0.142682,0.029688,4.165778,2,
00_00_00_0500,-0.139103,-0.229154,4.508713,2,-0.149689,0.013361,4.462374,2,-0.157718,0.252170,4.404100,2,-0.165913,0.364629,4.350348,2,-0.324011,0.180599,4.420788,2,-0.369723,-0.012379,4.346292,2,-0.157498,0.063804,4.201629,1,-0.169785,0.055974,4.168907,1,0.015446,0.210704,4.438311,2,0.072494,0.012695,4.402080,2,-0.075091,0.041821,4.225873,2,-0.119453,0.047184,4.173583,2,-0.211762,-0.231742,4.470507,2,-0.345780,-0.174476,4.130499,2,-0.281875,-0.576833,4.093509,2,-0.256855,-0.677913,4.127286,2,-0.064327,-0.222914,4.476522,2,0.016264,-0.284477,4.119030,2,-0.014250,-0.636701,4.187601,2,0.015574,-0.722690,4.137064,2,-0.155974,0.192988,4.420965,2,-0.154743,0.075370,4.118514,2,-0.122366,0.050268,4.158000,2,-0.186054,0.072756,4.129593,2,-0.119044,0.017336,4.162900,2,
